speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
1898,Mark,Begich,SENATOR,D,AK,,B001265,113
1750,Chris,Bell,REPRESENTATIVE,D,TX,25,B001241,108
2027,Dan,Benishek,REPRESENTATIVE,R,MI,1,B001271,113
1965,Michael,Bennet,SENATOR,D,CO,,B001267,113
1280,Robert,Bennett,SENATOR,R,UT,,B000382,107
2135,Kerry,Bentivolio,REPRESENTATIVE,R,MI,11,B001280,113
79,Ken,Bentsen,REPRESENTATIVE,D,TX,25,B000400,107
2102,Ami,Bera,REPRESENTATIVE,D,CA,7,B001287,113
80,Doug,Bereuter,REPRESENTATIVE,R,NE,1,B000403,107
2037,Rick,Berg,REPRESENTATIVE,R,ND,0,B001272,112
1576,Shelley,Berkley,REPRESENTATIVE,D,NV,1,B001231,107
82,Howard,Berman,REPRESENTATIVE,D,CA,26,B000410,107
1462,Marion,Berry,REPRESENTATIVE,D,AR,1,B000420,107
2272,Donald,Beyer,REPRESENTATIVE,D,VA,8,B001292,114
1284,Joseph,Biden,SENATOR,D,DE,,B000444,107
1577,Judy,Biggert,REPRESENTATIVE,R,IL,13,B001232,107
87,Brian,Bilbray,REPRESENTATIVE,R,CA,49,B000461,106
1838,Gus,Bilirakis,REPRESENTATIVE,R,FL,12,B001257,113
89,Michael,Bilirakis,REPRESENTATIVE,R,FL,9,B000463,107
1285,Jeff,Bingaman,SENATOR,D,NM,,B000468,107
91,Sanford,Bishop,REPRESENTATIVE,D,GA,2,B000490,113
1740,Timothy,Bishop,REPRESENTATIVE,D,NY,1,B001242,113
1753,Rob,Bishop,REPRESENTATIVE,R,UT,1,B001250,113
2249,Mike,Bishop,REPRESENTATIVE,R,MI,8,B001293,114
2063,Diane,Black,REPRESENTATIVE,R,TN,6,B001273,113
1748,Marsha,Blackburn,REPRESENTATIVE,R,TN,7,B001243,113
1463,Rod,Blagojevich,REPRESENTATIVE,D,IL,5,B000518,107
97,Tom,Bliley,REPRESENTATIVE,R,VA,7,B000556,106
2241,Rod,Blum,REPRESENTATIVE,R,IA,1,B001294,114
99,Earl,Blumenauer,REPRESENTATIVE,D,OR,3,B000574,113
2076,Richard,Blumenthal,SENATOR,D,CT,,B001277,113
1464,Roy,Blunt,SENATOR,R,MO,,B000575,113
1949,John,Boccieri,REPRESENTATIVE,D,OH,16,B001263,111
101,Sherwood,Boehlert,REPRESENTATIVE,R,NY,23,B000586,107
102,John,Boehner,REPRESENTATIVE,R,OH,8,B000589,113
2092,Suzanne,Bonamici,REPRESENTATIVE,D,OR,1,B001278,113
1286,Christopher,Bond,SENATOR,R,MO,,B000611,107
107,Henry,Bonilla,REPRESENTATIVE,R,TX,23,B000617,106
108,David,Bonior,REPRESENTATIVE,D,MI,10,B000619,107
1703,Jo,Bonner,REPRESENTATIVE,R,AL,1,B001244,112
110,Sonny,Bono,REPRESENTATIVE,R,CA,44,B000622,105
1465,Mary,Bono Mack,REPRESENTATIVE,R,CA,44,B001228,106
2194,Cory,Booker,SENATOR,D,NJ,,B001288,113
1687,John,Boozman,SENATOR,R,AR,,B001236,113
1796,Dan,Boren,REPRESENTATIVE,D,OK,2,B001254,112
111,Robert,Borski,REPRESENTATIVE,D,PA,3,B000644,107
2243,Mike,Bost,REPRESENTATIVE,R,IL,12,B001295,114
1466,Leonard,Boswell,REPRESENTATIVE,D,IA,3,B000652,107
113,Rick,Boucher,REPRESENTATIVE,D,VA,9,B000657,107
1787,Charles,Boustany,REPRESENTATIVE,R,LA,3,B001255,113
116,Barbara,Boxer,SENATOR,D,CA,,B000711,113
